AlunoID,Código,Disciplina,Unidade 1,Unidade 2,Unidade 3,Unidade 4,Unidade 5,Prova Final,Resultado,Faltas,Situação
4,DC/CCN027,INTERFACE HUMANO COMPUTADOR,"9,0","9,0","9,6",,,,"9,2",0,AM
4,DC/CCN024,LABORATÓRIO DE PROGRAMAÇÃO,"8,2","8,5","5,5",,,,"7,4",0,AM
4,DMAT/CCN033,CÁLCULO DIFERENCIAL E INTEGRAL II,"9,0","9,2","9,4",,,,"9,2",0,AM
4,DC/CCN029,CIRCUITOS DIGITAIS,"9,6","6,6","10,0",,,,"8,7",0,AM
4,DC/CCN022,ESTRUTURAS DE DADOS,"7,5","6,5","8,0",,,,"7,3",6,AM
4,DC/CCN024,LABORATÓRIO DE PROGRAMAÇÃO,"7,5","5,8","4,0",,,"3,4","4,6",0,RN
4,DMAT/CCN035,MATEMÁTICA DISCRETA,"7,0","7,0","8,0",,,,"7,3",0,AM
4,DC/CCN023,PROGRAMAÇÃO ORIENTADA A OBJETOS,"10,0","8,0","10,0",,,,"9,3",3,AM
4,DMAT/CCN032,CÁLCULO DIFERENCIAL E INTEGRAL I,"6,5","10,0","7,0",,,,"7,8",0,AM
4,DC/CCN021,INFORMÁTICA E SOCIEDADE,"9,1","9,1","9,1",,,,"9,1",0,AM
4,CLE/CCHL002,INGLÊS TÉCNICO E CIENTÍFICO,"7,5","8,8","9,0",,,,"8,4",4,AM
4,DC/CCN019,INTRODUÇÃO À LÓGICA,"10,0","10,0","7,5",,,,"9,2",0,AM
4,DFIL/CCHL009,INTRODUÇÃO À METODOLOGIA CIENTÍFICA,"9,0","8,0","9,0",,,,"8,7",0,AM
4,DC/CCN026,PROGRAMAÇÃO ESTRUTURADA,"3,7","2,5","8,0",,,"9,0","6,9",0,EF
4,DC/CCN020,SEMINÁRIOS DE INTRODUÇÃO AO CURSO,"8,7",,,,,,"8,7",4,AM
5,DC/CCN048,PROGRAMAÇÃO FUNCIONAL,"8,0","9,3","10,0",,,,"9,1",0,AM
5,DC/CCN081,VISÃO COMPUTACIONAL,"8,8","6,0","9,5",,,,"8,1",0,AM
5,DC/CCN042,COMPILADORES,"7,5","7,3","9,6",,,,"8,1",2,AM
5,DC/CCN043,LINGUAGENS DE PROGRAMAÇÃO,"8,6","8,3","9,1",,,,"8,7",2,AM
5,DC/CCN037,PROCESSAMENTO DIGITAL DE IMAGENS,"10,0","7,6","8,6",,,,"8,7",6,AM
5,DC/CCN058,SISTEMAS EMBARCADOS,"8,5","10,0","10,0",,,,"9,5",0,AM
5,DC/CCN074,TÓPICOS EM REDES DE COMPUTADORES,"8,3","10,0","10,0",,,,"9,4",0,AM
5,DC/CCN044,ENGENHARIA DE SOFTWARE II,"10,0","9,5","8,5",,,,"9,3",0,AM
5,DC/CCN040,SEGURANÇA EM SISTEMAS,"7,6","7,7","8,2",,,,"7,8",8,AM
5,DC/CCN038,SISTEMAS DISTRIBUÍDOS,"8,5","9,8","10,0",,,,"9,4",8,AM
5,DC/CCN030,TEORIA DA COMPUTAÇÃO,"9,8","7,8","9,0",,,,"8,9",4,AM
5,DC/CCN067,TÓPICOS EM BIOINFORMÁTICA,"7,9","10,0","9,1",,,,"9,0",4,AM
5,DC/CCN045,BANCOS DE DADOS RELACIONAIS,"8,0","3,6","6,4",,,"8,1","7,1",2,EF
