Código,Disciplina,Unidade 1,Unidade 2,Unidade 3,Unidade 4,Unidade 5,Prova Final,Resultado,Faltas,Situação
DMAT/CCN033,CÁLCULO DIFERENCIAL E INTEGRAL II,"9,0","9,2","9,4",,,,"9,2",0,AM
DMAT/CCN033,CÁLCULO DIFERENCIAL E INTEGRAL II,"9,0","6,5","10,0",,,,"8,5",0,AM
DMAT/CCN033,CÁLCULO DIFERENCIAL E INTEGRAL II,"8,9","5,5","10,0",,,,"8,1",0,AM
DMAT/CCN034,ÁLGEBRA LINEAR,"10,0","7,0","5,5",,,,"7,5",0,AM
DMAT/CCN034,ÁLGEBRA LINEAR,"7,1","8,8","7,0",,,,"7,6",0,AM
DMAT/CCN034,ÁLGEBRA LINEAR,"4,0","4,0","5,0",,,"10,0","7,2",0,EF
DMAT/CCN034,ÁLGEBRA LINEAR,"4,5","7,0","10,0",,,,"7,2",0,AM
DMAT/CCN035,MATEMÁTICA DISCRETA,"7,0","7,0","8,0",,,,"7,3",0,AM
DMAT/CCN035,MATEMÁTICA DISCRETA,"7,0","7,0","8,0",,,,"7,3",0,AM
DMAT/CCN035,MATEMÁTICA DISCRETA,"7,0","7,0","8,0",,,,"7,3",0,AM
DMAT/CCN035,MATEMÁTICA DISCRETA,"7,0","7,0","8,0",,,,"7,3",0,AM
