AlunoID,Código,Unidade 1,Unidade 2,Unidade 3,Unidade 4,Unidade 5,Prova Final,Resultado,Faltas,Situação
5,DC/CCN037,"1,1","7,5","6,9",,,"5,2","5,2",6,RN
5,DC/CCN034,"5,1","3,9","10,0",,,"5,8","6,0",0,AM
5,DC/CCN040,"3,2","3,3","5,2",,,,"3,9",4,RN
5,DC/CCN068,"6,5","9,7","0,0",,,,"0,0",52,RF
5,DC/CCN032,"5,1","5,7","6,2",,,"5,3","5,5",2,RN
5,DC/CCN039,"7,5","4,4","7,5",,,"6,2","6,4",4,AM
5,DC/CCN036,"4,5","9,1","7,5",,,,"7,0",0,AM
5,DC/CCN035,"4,6","5,5","6,0",,,"5,0","5,2",0,RN
5,DC/CCN033,"7,7","4,9","6,0",,,"5,9","6,1",6,AM
5,DC/CCN030,"2,0","5,2","4,0",,,,"3,7",2,RN
5,DC/CCN029,"9,8","10,0","10,0",,,,"9,9",2,AM
5,DC/CCN022,"8,1","7,9","9,0",,,,"8,3",0,AM
5,DC/CCN024,"9,5","9,7","10,0",,,,"9,7",0,AM
5,DMAT/CCN035,"7,0","7,0","7,0",,,,"7,0",0,AM
5,DC/CCN023,"9,0","7,6","9,5",,,,"8,7",2,AM
5,DMAT/CCN032,"8,8","10,0","7,5",,,,"8,8",2,AM
5,DC/CCN021,"8,8","8,8","8,8",,,,"8,8",0,AM
5,CLE/CCHL002,"10,0","10,0","10,0",,,,"10,0",0,AM
5,DC/CCN019,"10,0","9,5","10,0",,,,"9,8",0,AM
5,DFIL/CCHL009,"6,9","9,0","8,0",,,,"8,0",0,AM
5,DC/CCN026,"6,5","7,6","5,8",,,"9,0","7,8",0,AM
5,DC/CCN020,"10,0",,,,,,"10,0",0,AM
6,DC/CCN045,"10,0","10,0","10,0",,,,"10,0",2,AM
6,DC/CCN061,"8,1","9,4","10,0",,,,"9,2",11,AM
6,DC/CCN048,"6,5","9,0","10,0",,,,"8,5",0,AM
6,DC/CCN067,"7,0","9,0","8,5",,,,"8,2",4,AM
6,DC/CCN071,"8,2","9,2","9,0",,,,"8,8",0,AM
6,DC/CCN074,"8,8","9,5","9,5",,,,"9,3",0,AM
6,DC/CCN044,"9,5","9,0","9,0",,,,"9,2",2,AM
6,DC/CCN041,"7,3","8,0","6,1",,,,"7,1",8,AM
6,DC/CCN040,"7,1","7,0","8,6",,,,"7,6",8,AM
6,DC/CCN038,"9,8","9,1","10,0",,,,"9,6",12,AM
6,DC/CCN042,"9,8","7,1","6,9",,,,"7,9",7,AM
6,DC/CCN039,"9,2","8,5","6,0",,,,"7,9",8,AM
6,DC/CCN043,"10,0","9,5","9,5",,,,"9,7",0,AM
6,DC/CCN058,"9,0","10,0","10,0",,,,"9,7",0,AM
6,DC/CCN037,"8,0","8,6","9,2",,,,"8,6",6,AM
6,DC/CCN035,"8,1","9,6","6,6",,,,"8,1",4,AM
6,DC/CCN033,"6,7","8,5","9,1",,,,"8,1",6,AM
6,DC/CCN030,"7,5","8,7","8,1",,,,"8,1",6,AM
6,DC/CCN031,"7,3","7,0","7,5",,,,"7,3",2,AM
6,DC/CCN032,"9,5","7,4","10,0",,,,"9,0",6,AM
6,DC/CCN034,"5,2","9,5","9,2",,,,"8,0",0,AM
6,DC/CCN036,"6,8","8,6","7,4",,,,"7,6",4,AM
6,DMAT/CCN034,"10,0","7,0","6,3",,,,"7,8",0,AM
6,DC/CCN031,"7,0","0,0","0,0",,,,"2,3",0,RN
6,DC/CCN025,"10,0","9,0","10,0",,,,"9,7",0,AM
6,DC/CCN027,"9,8","10,0","9,6",,,,"9,8",0,AM
6,CGBEST/CCN013,"8,7","9,4","9,4",,,,"9,2",0,AM
6,DC/CCN028,"8,8","10,0","10,0",,,,"9,6",0,AM
6,DMAT/CCN033,"9,4","9,3","9,2",,,,"9,3",0,AM
6,DC/CCN029,"9,4","8,7","10,0",,,,"9,4",4,AM
6,DC/CCN022,"7,5","9,8","9,0",,,,"8,8",8,AM
6,DC/CCN024,"9,9","7,3","8,0",,,,"8,4",6,AM
6,DMAT/CCN035,"7,0","7,0","8,0",,,,"7,3",0,AM
6,DC/CCN023,"5,0","10,0","10,0",,,,"8,3",6,AM
6,DMAT/CCN032,"7,5","10,0","8,5",,,,"8,7",0,AM
6,DC/CCN021,"9,1","9,1","9,1",,,,"9,1",0,AM
6,CLE/CCHL002,"9,3","8,3","10,0",,,,"9,2",4,AM
6,DC/CCN019,"9,8","9,5","10,0",,,,"9,8",0,AM
6,DFIL/CCHL009,"10,0","10,0","10,0",,,,"10,0",0,AM
6,DC/CCN026,"9,1","9,1","9,1",,,,"9,1",0,AM
6,DC/CCN020,"9,3",,,,,,"9,3",2,AM
7,DC/CCN041,"8,9","7,0","7,4",,,,"7,8",8,AM
7,DC/CCN043,"7,1","5,8","8,8",,,,"7,2",10,AM
7,DC/CCN030,"3,2","7,6","3,8",,,"8,2","6,6",10,AM
7,DC/CCN071,"9,0","10,0","9,5",,,,"9,5",8,AM
7,DC/CCN074,"7,8","10,0","10,0",,,,"9,3",4,AM
7,DC/CCN045,"7,8","4,8","8,5",,,,"7,0",2,AM
7,DC/CCN032,"7,6","6,7","9,0",,,,"7,8",10,AM
7,CGBEST/CCN013,"5,2","7,2","10,0",,,,"7,5",2,AM
7,DC/CCN061,"8,7","8,0","8,5",,,,"8,4",8,AM
7,DC/CCN040,"6,0","7,6","7,3",,,,"7,0",12,AM
7,DC/CCN038,"8,5","8,5","7,0",,,,"8,0",12,AM
7,DC/CCN044,"10,0","8,0","8,5",,,,"8,8",6,AM
7,DC/CCN043,"5,1","4,4","3,5",,,"9,0","6,6",12,AM
